Kod oblasti;Nazev oblasti;Registrovany volici;Obalky;PlatnÈ hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;»esk· n·rodnÌ fronta;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
597872;SvÏtl· Hora;1†210;672;669;49;0;0;53;1;28;80;11;8;8;2;1;54;0;0;12;231;0;1;26;0;5;1;0;95;3
597881;SvobodnÈ He¯manice;428;237;235;11;6;0;15;0;9;25;0;1;1;0;0;10;0;0;2;91;0;1;6;0;1;0;1;54;1
597899;äirok· Niva;479;280;279;16;1;0;22;0;22;34;4;1;3;1;0;21;0;0;3;106;0;1;2;0;3;1;0;38;0
597911;T¯emeön·;767;433;429;11;0;1;32;0;18;62;0;4;2;0;0;22;0;0;8;221;0;0;10;0;1;0;1;35;1
551821;Tvrdkov;206;132;129;11;0;0;9;1;4;18;1;3;1;0;0;5;0;0;6;42;0;0;0;0;2;0;0;26;0
597937;⁄valno;819;448;446;20;0;0;40;5;13;52;7;5;9;1;1;24;0;0;5;148;0;0;13;0;5;0;4;94;0
597945;V·clavov u Brunt·lu;346;180;179;14;0;0;27;0;3;30;0;1;1;0;0;11;0;1;4;47;0;0;3;0;9;0;3;25;0
551783;Valöov;206;118;118;7;1;0;10;0;10;9;1;0;2;0;0;3;0;0;6;34;1;1;3;0;0;0;0;30;0
551694;Velk· ät·hle;288;179;178;2;0;0;21;1;7;27;1;1;5;0;0;17;0;2;0;70;0;0;4;0;0;0;1;19;0
597961;Vrbno pod PradÏdem;4†435;2†278;2†262;138;0;0;270;4;57;263;15;19;8;2;0;156;1;0;20;848;0;5;41;0;7;1;6;398;3
597970;Vysok·;261;147;147;8;0;0;13;0;4;29;1;0;0;0;0;3;0;0;0;59;0;0;7;0;0;0;0;23;0
597988;Z·tor;973;562;560;23;0;0;23;0;17;59;5;4;5;2;0;35;0;0;16;243;0;3;25;0;5;3;1;88;3
